T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9966364    0.026863835     0.53947727   0.0030408905     0.99893182
      1.0000000     -1.9966516    0.026742483     0.54156109   0.0030271514     0.99893665
      1.0000000     -1.9966667    0.026622222     0.54362613   0.0030135358     0.99894144
      1.0000000     -1.9966816    0.026503038     0.54567265   0.0030000422     0.99894619
      1.0000000     -1.9966964    0.026384917     0.54770089   0.0029866689     0.99895089
      1.0000000     -1.9967111    0.026267844     0.54971111   0.0029734143     0.99895556
      1.0000000     -1.9967257    0.026151805     0.55170354   0.0029602768     0.99896018
      1.0000000     -1.9967401    0.026036787     0.55367841   0.0029472549     0.99896476
      1.0000000     -1.9967544    0.025922776     0.55563596   0.0029343471     0.99896930
      1.0000000     -1.9967686    0.025809760     0.55757642   0.0029215518     0.99897380
      1.0000000     -1.9967826    0.025697724     0.55950000   0.0029088677     0.99897826
      1.0000000     -1.9967965    0.025586657     0.56140693   0.0028962932     0.99898268
      1.0000000     -1.9968103    0.025476546     0.56329741   0.0028838269     0.99898707
      1.0000000     -1.9965665    0.027420656     0.56504292   0.0033853838     0.99886266
      1.0000000     -1.9965812    0.027303674     0.56690171   0.0033709383     0.99886752
      1.0000000     -1.9965957    0.027187687     0.56874468   0.0033566157     0.99887234
      1.0000000     -1.9966102    0.027072680     0.57057203   0.0033424142     0.99887712
      1.0000000     -1.9966245    0.026958643     0.57238397   0.0033283324     0.99888186
      1.0000000     -1.9966387    0.026845562     0.57418067   0.0033143687     0.99888655
      1.0000000     -1.9966527    0.026733426     0.57596234   0.0033005217     0.99889121
      1.0000000     -1.9966667    0.026622222     0.57772917   0.0032867899     0.99889583
      1.0000000     -1.9966805    0.026511940     0.57948133   0.0032731719     0.99890041
      1.0000000     -1.9966116    0.027061512     0.57431818   0.0034245868     0.99886364
      1.0000000     -1.9966255    0.026950336     0.56783951   0.0034105150     0.99886831
      1.0000000     -1.9966393    0.026840070     0.56141393   0.0033965584     0.99887295
      1.0000000     -1.9966531    0.026730702     0.55504082   0.0033827155     0.99887755
      1.0000000     -1.9965854    0.027270434     0.54873984   0.0034094520     0.99886179
      1.0000000     -1.9965992    0.027160216     0.54246964   0.0033956695     0.99886640
      1.0000000     -1.9966129    0.027050884     0.53625000   0.0033819979     0.99887097
      1.0000000     -1.9966265    0.026942430     0.53008032   0.0033684360     0.99887550
