T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9963030    0.029521087   -0.030287879   0.0037384358     0.99875974
      1.0000000     -1.9963103    0.029462787   -0.027344828   0.0037266373     0.99876293
      1.0000000     -1.9963262    0.029336570   -0.031519313   0.0037106693     0.99876824
      1.0000000     -1.9962137    0.030233253   -0.035465812   0.0037970183     0.99873504
      1.0000000     -1.9962213    0.030172672   -0.039568085   0.0037851218     0.99873830
      1.0000000     -1.9962203    0.030180145   -0.043078390   0.0037775419     0.99873941
      1.0000000     -1.9962194    0.030187554   -0.041014768   0.0037952999     0.99873629
      1.0000000     -1.9962269    0.030127929   -0.045037815   0.0037835605     0.99873950
      1.0000000     -1.9962008    0.030335571   -0.044311715   0.0038136334     0.99873013
      1.0000000     -1.9962083    0.030275826   -0.039962500   0.0038019156     0.99873333
      1.0000000     -1.9962158    0.030216577   -0.035649378   0.0037902949     0.99873651
      1.0000000     -1.9962149    0.030223683   -0.031376033   0.0037952574     0.99873554
      1.0000000     -1.9962305    0.030099541   -0.027131687   0.0037796653     0.99874074
      1.0000000     -1.9962459    0.029976414   -0.022922131   0.0037642008     0.99874590
      1.0000000     -1.9962367    0.030049474   -0.018757143   0.0037854946     0.99874082
      1.0000000     -1.9962358    0.030057143   -0.018209350   0.0038025705     0.99873780
      1.0000000     -1.9962267    0.030129284   -0.022174089   0.0038235363     0.99873279
      1.0000000     -1.9962097    0.030265114   -0.026100806   0.0038483444     0.99872581
      1.0000000     -1.9962249    0.030143798   -0.030012048   0.0038329152     0.99873092
      1.0000000     -1.9962400    0.030023450   -0.033892000   0.0038176092     0.99873600
      1.0000000     -1.9962550    0.029904059   -0.037741036   0.0038024250     0.99874104
      1.0000000     -1.9962540    0.029912123   -0.041115079   0.0037952577     0.99874206
      1.0000000     -1.9962688    0.029794114   -0.037000000   0.0037802816     0.99874704
      1.0000000     -1.9962835    0.029677033   -0.032917323   0.0037654232     0.99875197
      1.0000000     -1.9962745    0.029748404   -0.036409804   0.0037858774     0.99874706
      1.0000000     -1.9962891    0.029632416   -0.040173828   0.0037711133     0.99875195
      1.0000000     -1.9962879    0.029641380   -0.041293774   0.0037642072     0.99875292
      1.0000000     -1.9963023    0.029526704   -0.045009690   0.0037496412     0.99875775
      1.0000000     -1.9963166    0.029412912   -0.048696911   0.0037351876     0.99876255
      1.0000000     -1.9962769    0.029729170   -0.046723077   0.0037706731     0.99875000
      1.0000000     -1.9962759    0.029737627   -0.042722222   0.0037753496     0.99874904
      1.0000000     -1.9962672    0.029806860   -0.038751908   0.0037952193     0.99874427
      1.0000000     -1.9962738    0.029754347   -0.034804183   0.0037845960     0.99874715
      1.0000000     -1.9962879    0.029641850   -0.030884470   0.0037702841     0.99875189
      1.0000000     -1.9962792    0.029710662   -0.027005660   0.0037786462     0.99874906
      1.0000000     -1.9962707    0.029778955   -0.024657895   0.0037756861     0.99874812
      1.0000000     -1.9962846    0.029667631   -0.028310861   0.0037615683     0.99875281
      1.0000000     -1.9962985    0.029557136   -0.029421642   0.0037475557     0.99875746
      1.0000000     -1.9962825    0.029684499   -0.025605948   0.0037484432     0.99875465
      1.0000000     -1.9962963    0.029574760   -0.021807407   0.0037345830     0.99875926
      1.0000000     -1.9962878    0.029642296   -0.023562731   0.0037318401     0.99875830
      1.0000000     -1.9962353    0.030060955   -0.025261029   0.0037730880     0.99874265
      1.0000000     -1.9962491    0.029951049   -0.028831502   0.0037592903     0.99874725
      1.0000000     -1.9962628    0.029841943   -0.032375912   0.0037455931     0.99875182
      1.0000000     -1.9962764    0.029733629   -0.035894545   0.0037319953     0.99875636
      1.0000000     -1.9962899    0.029626099   -0.039387681   0.0037184959     0.99876087
      1.0000000     -1.9963032    0.029519343   -0.042855596   0.0037050938     0.99876534
      1.0000000     -1.9963165    0.029413355   -0.046298561   0.0036917880     0.99876978
      1.0000000     -1.9963226    0.029365261   -0.048568100   0.0036821441     0.99877240
      1.0000000     -1.9963357    0.029260578   -0.044823214   0.0036690150     0.99877679
      1.0000000     -1.9963488    0.029156638   -0.041104982   0.0036559792     0.99878114
      1.0000000     -1.9963617    0.029053434   -0.037413121   0.0036430358     0.99878546
      1.0000000     -1.9963675    0.029007290   -0.038480565   0.0036337001     0.99878799
      1.0000000     -1.9963732    0.028961471   -0.035968310   0.0036349764     0.99878873
      1.0000000     -1.9963719    0.028971910   -0.033259649   0.0036292262     0.99878947
      1.0000000     -1.9963776    0.028926535   -0.036638112   0.0036200367     0.99879196
      1.0000000     -1.9963763    0.028937022   -0.038522648   0.0036248147     0.99879094
      1.0000000     -1.9963889    0.028836728   -0.034916667   0.0036122488     0.99879514
      1.0000000     -1.9964014    0.028737127   -0.031335640   0.0035997697     0.99879931
      1.0000000     -1.9964138    0.028638212   -0.027779310   0.0035873765     0.99880345
      1.0000000     -1.9964124    0.028649547   -0.024254296   0.0036024940     0.99880069
      1.0000000     -1.9963836    0.028879192   -0.022013699   0.0036311405     0.99879110
      1.0000000     -1.9963618    0.029052855   -0.023914676   0.0036664167     0.99878157
      1.0000000     -1.9963741    0.028954216   -0.020431973   0.0036539660     0.99878571
